Title,Description,Author,Rating,Reviews,Total Hours,Number of Lectures,Difficulty,Discounted Price,Original Price,Tags
Next.js & React - The Complete Guide (incl. Two Paths!),"Learn NextJS from the ground up and build production-ready, fullstack ReactJS apps with the NextJS framework!",Maximilian Schwarzmüller,4.7 out of 5,"9,722",25 total hours,276 lectures,All Levels,₱649,"₱3,790",Bestseller
GraphQL with React: The Complete Developers Guide,Learn and master GraphQL by building real web apps with React and Node,Stephen Grider,4.3 out of 5,"9,613",13.5 total hours,116 lectures,Intermediate,₱699,"₱2,450",Bestseller
Complete guide to ASP.NET Core MVC (.NET 6),"Build real world application using ASP.NET Core MVC, Entity Framework Core and ASP.NET Core Identity.",Bhrugen Patel,4.5 out of 5,"9,381",14.5 total hours,200 lectures,Intermediate,₱799,"₱4,490",Bestseller
"50 Projects In 50 Days - HTML, CSS & JavaScript","Sharpen your skills by building 50 quick, unique & fun mini projects","Brad Traversy, Florin Pop",4.6 out of 5,"9,337",18.5 total hours,164 lectures,Beginner,₱699,"₱1,990",None
The Advanced Web Developer Bootcamp,"Learn React 16, Redux, D3, ES2015, Testing, CSS Flexbox, Animations, SVG, AJAX, and more!","Colt Steele, Elie Schoppik, Tim Garcia, Matt Lane",4.6 out of 5,"9,156",34 total hours,391 lectures,Intermediate,₱799,"₱4,790",None
Front End Web Development Ultimate Guide,You'll learn all the fundamentals of Front-End Web Development and how you can  Use them to start creating websites!,"Josh Werner, Learn Tecc",4.1 out of 5,"9,137",92.5 total hours,690 lectures,All Levels,₱699,"₱3,290",None
Master Hibernate and JPA with Spring Boot in 100 Steps,"Learn Hibernate, JPA (Java Persistence API) and Spring Data JPA using Spring and Spring Boot",in28Minutes Official,4.5 out of 5,"9,117",14 total hours,164 lectures,All Levels,₱599,₱799,Bestseller
React Front To Back,"Learn Modern React 16.8+ Including Hooks, Context API, Full Stack MERN & Redux By Building Real Life Projects",Brad Traversy,4.2 out of 5,"8,930",14 total hours,91 lectures,All Levels,₱649,"₱2,150",None
Web Development Masterclass - Online Certification Course,Cloud Computing | Web Apps | Linux | Web Servers | DBMS | LAMP Stack | HTML | CSS | JavaScript | PHP | + More,YouAccel Training,4.5 out of 5,"8,741",26 total hours,398 lectures,All Levels,₱649,"₱3,790",None
"React, NodeJS, Express & MongoDB - The MERN Fullstack Guide","Build fullstack React.js applications with Node.js, Express.js & MongoDB (MERN) with this project-focused course.","Academind by Maximilian Schwarzmüller, Maximilian Schwarzmüller, Manuel Lorenz",4.5 out of 5,"8,737",19 total hours,208 lectures,All Levels,₱799,"₱2,790",Bestseller
Bash Shell Scripting: Crash Course For Beginners,"Learn Bash Shell Scripting from total beginner:Start from the Command Line,finish with a real world Shell Script Project",Francesco Santi,4.7 out of 5,"8,465",5.5 total hours,75 lectures,All Levels,₱649,"₱3,990",Highest rated
NestJS Zero to Hero - Modern TypeScript Back-end Development,Develop and deploy enterprise back-end applications following best practices using Node.js and TypeScript,Ariel Weinberger,4.5 out of 5,"8,445",9 total hours,136 lectures,All Levels,₱699,₱999,None
Go Java Full Stack with Spring Boot and Angular,Become a Full Stack Java Developer. Build Your First Java Full Stack Application with Angular and Spring Boot.,in28Minutes Official,4.5 out of 5,"8,373",11.5 total hours,131 lectures,All Levels,₱599,₱799,None
Node JS: Advanced Concepts,"Get advanced with Node.Js! Learn caching with Redis, speed up through clustering, and add image upload with S3 and Node!",Stephen Grider,4.7 out of 5,"8,261",16 total hours,169 lectures,Intermediate,₱699,"₱2,150",None
Advanced Javascript,In only seven hours you will learn enough javascript to transform from a Junior JS Dev into a Senior JS Guru,Asim Hussain,4.6 out of 5,"8,010",6.5 total hours,47 lectures,Intermediate,₱699,"₱1,490",None
Learn Object Oriented PHP By Building a Complete Website,Quick and Easy Guide to Master OOPs in PHP,"Eduonix Learning Solutions, Eduonix-Tech .",4.2 out of 5,"7,811",4.5 total hours,33 lectures,All Levels,₱599,₱799,None
"HTML, CSS, & JavaScript - Certification Course for Beginners","A Comprehensive Guide for Beginners interested in learning HTML, CSS, & JavaScript to Build Interactive Web Pages.",YouAccel Training,4.3 out of 5,"7,809",5.5 total hours,113 lectures,Beginner,₱799,"₱2,790",None
Python and Flask Bootcamp: Create Websites using Flask!,Create awesome websites using the powerful Flask framework for Python!,Jose Portilla,4.7 out of 5,"7,787",20 total hours,127 lectures,All Levels,₱699,"₱3,790",None
"Angular (Full App) with Angular Material, Angularfire & NgRx","Use Angular, Angular Material, Angularfire (+ Firebase with Firestore) and NgRx to build a real Angular App","Academind by Maximilian Schwarzmüller, Maximilian Schwarzmüller",4.5 out of 5,"7,787",11.5 total hours,140 lectures,All Levels,₱749,"₱2,350",Bestseller
The Complete Developers Guide to MongoDB,Master MongoDB and Mongoose design with a test-driven approach,Stephen Grider,4.3 out of 5,"7,567",13.5 total hours,130 lectures,All Levels,₱699,"₱2,450",None
"The Modern React Bootcamp (Hooks, Context, NextJS, Router)",Just published! Follow the same curriculum I teach my students in SF. 10+ projects including one HUGE application!,Colt Steele,4.6 out of 5,"7,497",39 total hours,314 lectures,Beginner,₱699,"₱3,790",None
The Complete 2023 Web Development Course - Build 15 Projects,"The only course you need to become a full-stack web developer. Covers HTML5, CSS3, JS, ES6, Node, APIs, Mobile & more!",Development Island (UK),4.5 out of 5,"7,451",99.5 total hours,508 lectures,All Levels,₱649,"₱3,790",None
The Complete jQuery Course: From Beginner To Advanced!,"Use jQuery to create stunning animations, provide fast feedback forms, handle all user events and perform Ajax calls.","Joe Parys, Peter Sommerhoff, Joe Parys Support",4.5 out of 5,"7,132",6 total hours,51 lectures,All Levels,₱749,"₱3,290",None
Web Development w/ Google’s Go (golang) Programming Language,Learn Web Programming from a University Professor in Computer Science with over 20 years of teaching experience.,Todd McLeod,4.7 out of 5,"7,066",19 total hours,173 lectures,Intermediate,₱749,"₱1,650",None
Git a Web Developer Job: Mastering the Modern Workflow,"Learn Git, GitHub, Node.js, NPM, Object-oriented JavaScript, ES6, webpack, Netlify, BEM and Job Interview Tips",Brad Schiff,4.8 out of 5,"7,031",16 total hours,74 lectures,Beginner,₱749,"₱3,790",Highest rated
Build Web Apps with Vue JS 3 & Firebase,Learn Vue JS 3 & Firebase by creating & deploying dynamic web apps (including Authentication).,The Net Ninja (Shaun Pelling),4.7 out of 5,"6,921",31.5 total hours,314 lectures,All Levels,₱799,"₱1,990",None
The Complete Elixir and Phoenix Bootcamp,Master Functional Programming techniques with Elixir and Phoenix while learning to build compelling web applications!,Stephen Grider,4.5 out of 5,"6,796",17.5 total hours,154 lectures,All Levels,₱749,"₱1,490",Bestseller
The Complete 2020 Fullstack Web Developer Course,"Learn HTML5, CSS3, JavaScript, Python, Wagtail CMS, PHP & MySQL from scratch!",Kalob Taulien,4.5 out of 5,"6,671",67 total hours,695 lectures,All Levels,₱799,"₱4,490",None
Salesforce Development Training for Beginners,Salesforce Development :Learn about Apex programming and Salesforce development. Become a Salesforce Developer.,Deepika Khanna,4.6 out of 5,"6,632",14 total hours,109 lectures,All Levels,₱649,"₱3,990",Bestseller
Nuxt.js 2 - Vue.js on Steroids,Build highly engaging Vue JS apps with Nuxt.js. Nuxt adds easy server-side-rendering and a folder-based config approach.,"Academind by Maximilian Schwarzmüller, Maximilian Schwarzmüller",4.4 out of 5,"6,593",6.5 total hours,107 lectures,Intermediate,₱749,"₱2,350",None
